id,title,artist,bpm,tone,duration
1-qRPij1sjzmkxq95iOPFhkynbo7dzeSz,BASS.wav,Jorge Guardamino,130,Bm,3:32
1-q39owf96U5y56ksk96_r9IrJ-O1O15X,BGVS 3.wav,Jorge Guardamino,130,Bm,3:32
1-qbpvwFDEl6FRActkoak_UvSl1OHJsuL,LEAD VOX.wav,Jorge Guardamino,130,Bm,3:32
1-roNc_eE_UAIA6iRBxBRu3xoZXh7E3Zm,BGVS 1.wav,Jorge Guardamino,130,Bm,3:32
1-pAeCGK2F2PCYQb-b15nvmE_W8ExGXFU,BGVS 2.wav,Jorge Guardamino,130,Bm,3:32
1-pPHnZsSzNrdaabrhMjkp0FLEVsC5X79,CAJON.wav,Jorge Guardamino,130,Bm,3:32
1-oP4AOBKXgouqRlKUV_56Ojzh3fcQjmZ,AG 2.wav,Jorge Guardamino,130,Bm,3:32
1-ut1i2ojS6TkqpQ34_rxouyx0UpbwiDM,AG 1.wav,Jorge Guardamino,130,Bm,3:32
